	logFC	logCPM	PValue
C10A4.5	-2.98	1.75	0.173
C10B5.1	-1.51	4.54	0.45
C10C5.1	-2.35	6.4	0.0463
C10C6.6	0.493	9.1	0.317
C10C6.7	-0.73	2.83	0.71
C10C6.9	-1.91	2.17	0.32
C10E2.2	-5.89	4.21	0.028
C10E2.6	-1.64	7.64	0.00949
C10F3.4	-1.65	2.2	0.433
C10G11.6	-1.73	0.985	0.492
C10G11.7	0.299	9.08	0.48
C10H11.8	3.64	3.54	0.118
C11D2.4	-0.272	7.69	0.644
C11D2.7	-2.3	5.89	0.0955
C11H1.2	-1.52	5.94	0.35
C11H1.3	-0.373	6.72	0.726
C11H1.7	-5.56	3.89	0.0126
C12D8.1	1.31	8.17	0.00616
C13A10.2	-2.09	2.92	0.342
C13B4.1	-0.23	7.32	0.792
C13B9.2	-1.63	0.932	0.541
C13B9.3	0.475	8.72	0.268
C13C12.2	-2.31	1.31	0.338
C13C4.4	-0.138	5.25	0.934
C13E3.1	-5.73	4.05	0.0317
C13F10.2	-0.15	3.92	0.939
C13F10.4	-0.904	8	0.0948
C13F10.5	1.22	5.89	0.366
C13F10.6	-0.384	8.04	0.431
C13F10.7	-0.278	8.45	0.581
C13G5.2	-0.148	7.57	0.806
C14A11.9	0.385	6.43	0.728
C14A4.11	-0.116	7.79	0.832
C14A4.14	0.925	7.23	0.203
C14A4.3	0.478	8.51	0.3
C14B1.10	0.57	3.8	0.751
C14B1.12	-1.29	5.3	0.429
C14B1.2	0.289	7.66	0.641
C14B1.3	-0.777	6.12	0.52
C14B1.6	0.553	7.73	0.417
C14B1.7	1.98	5.69	0.167
C14B1.8	1.34	6.36	0.238
C14B1.9	0.091	8.76	0.828
C14B9.10	-1.64	6.1	0.186
C14B9.2	0.78	3.64	0.671
C14B9.3	-1.95	2.57	0.305
C14B9.8	0.977	8.24	0.0369
C14C10.2	-1.26	5.33	0.504
C14C10.4	1.22	7.33	0.133
C14C10.5	1.35	8.3	0.0143
C14C10.6	-0.459	6.49	0.681
C14C11.2	1.44	6.24	0.236
C14C11.7	1.06	5.56	0.475
C14F11.1	0.0706	8.55	0.88
C14F11.2	-4.7	3.12	0.0362
C14H10.2	-4.56	2.99	0.048
C14H10.3	3.96	2.4	0.103
C15B12.6	1.28	6.22	0.276
C15C6.1	-5.23	3.59	0.0407
C15C6.4	-1.12	6.16	0.345
C15C7.5	1.08	5.4	0.485
C15C7.7	-0.61	4.1	0.765
C15C8.4	0.163	8.01	0.753
C15C8.7	-0.777	6.41	0.494
C15F1.2	5	2.53	0.0391
C15F1.5	0.481	4.48	0.833
C15H11.8	-0.161	7.15	0.853
C15H9.4	3.84	1.53	0.0975
C15H9.5	-0.953	4.57	0.631
C16A11.10	-0.0121	5.84	0.997
C16A11.2	-0.162	7.26	0.825
C16A11.3	-2.88	2.86	0.186
C16A11.4	0.59	6.69	0.585
C16A11.5	-2.9	2.08	0.161
C16A3.1	0.957	6.63	0.382
C16A3.10	-0.376	7.31	0.684
C16A3.2	0.056	6.44	0.96
C16A3.4	-0.0901	7.48	0.887
C16A3.5	0.193	6.77	0.834
C16A3.6	-0.266	5.05	0.879
C16C10.1	-0.339	7.62	0.602
C16C10.2	-0.0394	7.44	0.958
C16C10.3	0.558	9.2	0.191
C16C10.4	0.0154	7.61	0.982
C16C10.8	-1.04	5.94	0.482
C16C2.4	0.205	8.48	0.687
C16C8.11	0.266	6.42	0.821
C16C8.12	0.523	3.47	0.8
C16C8.14	4.23	3.15	0.0392
C16C8.16	-0.976	6.14	0.471
C16C8.20	-0.00294	2.56	1
C16C8.4	-1.36	6.33	0.227
C16C8.5	-0.954	4.89	0.571
C16D6.2	-4.87	3.27	0.0271
C16D9.6	0.3	5.26	0.851
C16E9.2	1.07	7.25	0.141
C16H3.3	0.951	2.21	0.675
C17C3.1	0.04	7.03	0.964
C17D12.1	1.5	4.74	0.412
C17D12.7	1.01	3.46	0.591
C17E4.10	0.342	8.18	0.475
C17E4.11	-0.0998	5.44	0.952
C17E4.3	0.00135	8.96	0.999
C17E4.4	-0.501	6.65	0.612
C17E4.6	1.91	7.24	0.00919
C17E7.12	-0.864	5.21	0.589
C17E7.13	-2.54	1.45	0.239
C17E7.4	1.35	6.91	0.141
C17E7.9	-0.251	5.84	0.856
C17F4.2	4.1	2.21	0.0812
C17F4.8	0.196	4.17	0.92
C17G10.1	-0.585	8.08	0.225
C17G10.2	-0.342	7.9	0.523
C17G10.9	-0.62	8.43	0.18
C17H11.2	1.97	7.3	0.0196
C17H11.6	1.61	5.84	0.287
C17H12.13	-0.372	8.51	0.391
C17H12.2	-0.77	6.3	0.535
C18A3.1	-2.14	6.2	0.156
C18A3.2	-1.07	6.32	0.359
C18A3.3	0.0152	7.07	0.985
C18A3.4	0.764	4.29	0.736
C18A3.9	3.28	1.19	0.135
C18B12.4	0.374	7.16	0.712
C18B12.6	0.3	6.47	0.772
C18B2.4	2.65	4.71	0.194
C18C4.5	-4.8	4.52	0.0204
C18D11.3	7.45	5.98	2.16e-05
C18E3.1	-1.51	1.45	0.468
C18E3.2	-0.136	7.36	0.839
C18E3.3	0.507	7.25	0.498
C18E3.5	-0.145	7.18	0.858
C18E3.9	0.441	7.83	0.427
C18E9.10	-0.805	7.05	0.314
C18E9.2	0.615	9.44	0.153
C18E9.4	-1.2	6.16	0.321
C18E9.5	-0.256	2.46	0.922
C18E9.7	-2.67	1.53	0.27
C18F10.7	1.2	7.7	0.0455
C18H2.2	4.6	3.69	0.0434
C18H9.3	0.486	2.41	0.813
C23F12.4	0.249	6.51	0.813
C23G10.2	-1.06	5.89	0.411
C23G10.7	0.705	9.06	0.0916
C23G10.8	0.971	7.31	0.17
C23H3.3	0.954	6.07	0.472
C23H3.5	-0.083	7.98	0.877
C23H4.3	-2.21	1.25	0.361
C23H4.6	1.95	3.06	0.378
