	logFC	logCPM	PValue
C18E9.10	0.00187	6.53	1
C18E9.2	0.266	9.53	0.587
C18E9.4	0.129	5.34	0.943
C18F10.7	-0.277	8.25	0.614
C18H2.2	-0.364	4.72	0.851
C18H9.3	1.41	2.12	0.561
C23F12.4	0.324	6.42	0.792
C23G10.2	0.248	5.11	0.891
C23G10.7	1.19	8.84	0.0153
C23G10.8	-0.302	7.8	0.657
C23H3.3	0.514	6.2	0.713
C23H3.5	0.552	7.64	0.452
C23H4.6	3.31	2.91	0.178
C24A1.2	5.22	3.39	0.0607
C24A1.3	-3.29	3.59	0.202
C24A11.1	-5.01	3.39	0.0593
C24B5.1	-0.738	2.27	0.752
C24D10.4	0.118	6.79	0.915
C24D10.5	0.811	6.7	0.48
C24D10.6	0.718	6.24	0.592
C24F3.2	0.848	7.18	0.337
C24G6.2	-0.905	2.1	0.743
C24G6.8	0.302	7.22	0.734
C24H10.2	-0.2	6.46	0.871
C24H11.5	2.48	1.68	0.326
C24H12.4	0.432	6.72	0.709
C24H12.5	-0.582	6.35	0.698
C25A1.1	1.15	7.17	0.218
C25A1.12	0.203	7.66	0.78
C25A1.13	1.39	6.15	0.324
C25A1.16	0.472	5.36	0.778
C25A1.4	-0.425	8.19	0.474
C25A1.5	0.281	8.83	0.585
C25A11.2	0.413	7.42	0.66
C25D7.10	1.42	4.62	0.515
C25F6.1	-1.6	5.62	0.413
C25G4.10	0.904	3.34	0.689
C25G4.2	-5.14	3.5	0.0378
C25G4.3	0.122	6	0.941
C25G6.4	-0.824	3.62	0.694
C25H3.12	-4.08	2.61	0.11
C25H3.14	-1.68	4.62	0.392
C25H3.17	-1.95	1.59	0.386
C25H3.18	-1.59	1.4	0.475
C25H3.3	0.496	4.85	0.8
C25H3.4	0.0225	7.64	0.977
C25H3.7	0.797	6.57	0.496
C25H3.8	-1.1	6.64	0.332
C25H3.9	0.36	7.55	0.636
C26B2.7	0.055	6.97	0.958
C26B9.1	5.79	4.47	0.0171
C26B9.3	3.76	2.66	0.145
C26B9.6	2.31	2.21	0.341
C26D10.3	0.674	4.61	0.779
C26E6.12	0.0651	7.48	0.936
C26E6.3	1.66	6.35	0.203
C26E6.6	1.65	6.91	0.121
C26F1.3	0.825	6.3	0.528
C26H9A.2	-1.82	4.47	0.391
C27A12.2	-0.406	8.78	0.426
C27A12.6	-0.269	8.02	0.66
C27A12.7	0.00704	8.73	0.99
